title,id,price,condition,availability,channel,feed label,language,all clicks,brand,description,gtin,image link,link,rating average,rating count,shipping(country),shipping weight,update type
Strike First 5lb CO2 | UL/ULC Approved | USCG Approved,sf-5co2,194.75 CAD,new,in stock,Online,CA,en,15,Strike First,"Key Features:

   All Fire extinguishers sold by Tesla Fire Systems, can be fully certified by our technicians.
   Made in Canada with Canadian Materials.
   Multi-Purpose Protection: Effective on Class B (flammable liquids) & Class C (electrical equipment)
   Powerful Performance: UL/ULC Rating of 5B:C for superior fire suppression.
   Capacity & Range: 5lb capacity, 6-12 ft range, 11-second discharge time
   Durable Design: Built to withstand extreme temperatures from -22°F to 120°F (-30°C to 49°C).
   Certified & Compliant: Manufactured & tested to exceed ANSI/UL 154, 711 & CAN/ULC-S503, S508. Complies to NFPA 10 standard. DOT Approved Cylinder
   Included Bracket: Hook Style Wall Bracket
   Optional Bracket: HDVB-2",,https://teslafiresystems.com/wp-content/uploads/2025/12/Strike-First-5lb-CO2.png,https://teslafiresystems.com/product/strike-first-5lb-co2-fire-extinguisher/,,,CA,13.25 lb,merge
Edwards Pullstation - 24VDC,-481,85.00 CAD,new,in stock,Online,CA,en,0,,The Edwards 270 Series Pull Station is a manual fire alarm device designed for reliable operation in commercial and industrial settings.,,https://teslafiresystems.com/wp-content/uploads/2025/01/Edwards-Pull-Station-2.png,https://teslafiresystems.com/product/edwards-pullstation/,,,CA,0.5 lb,
"Fire Equipment Log Book for Fire Alarm Systems, Emergency Lighting, Fire Extinguishers & Emergency Generators",tflb-298a-439,50.00 CAD,new,in stock,Online,CA,en,0,Tesla Fire Systems,"The Fire Safety Maintenance Logbook is an essential tool for recording inspections, tests, and maintenance of fire safety equipment, designed with input from Fire Departments, Fire Marshalls, and fire protection service companies.",,https://teslafiresystems.com/wp-content/uploads/2025/01/tfs-lb.webp,https://teslafiresystems.com/product/fire-protection-equipment-log-book-298a/,,,CA,0.5 lb,
Mircom MH-25R - Mini Horn (Red),mh-25r-1386,35.00 CAD,new,in stock,Online,CA,en,0,,"Mircom’s MH-25 Series mini horns are compact electronic alarm appliances that are ideal for alarm signaling in individual rooms, apartments, hotels and offices where attractive appearance and dependable performance are prime concerns.",,https://teslafiresystems.com/wp-content/uploads/2025/03/Mini-Horn-Red.jpg,https://teslafiresystems.com/product/mircom-mh-25r-mini-horn-red/,,,CA,0.5 lb,
Emergency Light Battery 12V12AH,rlss-12120,55.00 CAD,new,in stock,Online,CA,en,0,,The Emergency Light Replacement Battery 12V 12AH is designed for use with most emergency lighting packs. It offers easy installation and comes with a standard warranty for reliable performance.,,https://teslafiresystems.com/wp-content/uploads/2025/01/12V12AH-Battery.png,https://teslafiresystems.com/product/emergency-light-replacement-battery-12v-12ah/,,,CA,6 lb,
1lb Fire Extinguisher - Amerex 376 BC Purple K with Vehicle Bracket,376,135.00 CAD,new,in stock,Online,CA,en,0,Amerex,"All Fire extinguishers sold by Tesla Fire Systems Inc. come inspected and fully certified for 1 year.

The Amerex 376 is a 1lb Purple K fire extinguisher designed for Class B (flammable liquids and gases) and Class C (electrical) fires. Its potassium bicarbonate dry chemical compound effectively inhibits the chemical reactions that fuel these fires. Ideal for use in environments like boats, it is perfect for combating Class B liquid spills or fires involving live electrical equipment. With a 10-second discharge time, it provides quick and reliable suppression.",,https://teslafiresystems.com/wp-content/uploads/2025/01/16.-Amerex-376-1lb-Purple-K-Class-B-C-Ideal-for-Boats.jpg,https://teslafiresystems.com/product/amerex-376-1lb-purple-k-class-b-c-ideal-for-boats/,,,CA,2.25 lb,
"Aluminum Fire Extinguisher Sign - (4"" x 12"")",a109,23.01 CAD,new,in stock,Online,CA,en,0,Tesla Fire Systems,"The Fire Extinguisher Sign 2 Metal is a durable, high-quality metal sign designed to clearly mark fire extinguisher locations. Its sturdy construction ensures long-lasting performance in various environments, providing reliable safety signage for easy identification in emergencies.",,https://teslafiresystems.com/wp-content/uploads/2025/01/Aluminum-Fire-Extinguisher-Sign-4-x-12.png,https://teslafiresystems.com/product/fire-extinguisher-sign-metal/,,,CA,0.5 lb,
Strike First SF110ST | Compact 2.5lb ABC I UL/ULC & USCG Approved,sf-110st,40.75 CAD,new,in stock,Online,CA,en,0,Strike First,"All Fire extinguishers sold by Tesla Fire Systems, can be fully certified by our technicians.
   USCG Approved: U.S Coast Guard approved when installed with approved mounting bracket.
   Made in Canada with Canadian Materials.
   Ideal for Residential, Multi-Residential & Fleet Vehicle use.
   Manufactured & tested to exceed ANSI/UL 299, 711 & CAN/ULC-S504, S508. Complies to NFPA 10 standard.",,https://teslafiresystems.com/wp-content/uploads/2025/01/28.-Easy-to-Use-Strike-First-ABC110ST-Kitchen-Boat-Trailer-Multi-Purpose-2.5lb-Fire-Extinguisher-wFree-Wall-Mount.jpg,https://teslafiresystems.com/product/strike-first-compact-sf110st-2-5lbs-ul-ulc-uscg-approved/,,,CA,4.5 lb,
5Lb Universal Quick Release Vehicle Bracket,5brk-1054,33.99 CAD,new,in stock,Online,CA,en,1,Tesla Fire Systems,Keep your 5lb fire extinguisher secure and easily accessible with this spring-loaded vehicle bracket from Tesla Fire Products.,990312860389,https://teslafiresystems.com/wp-content/uploads/2025/02/2.5lb-Fire-Extinguisher-Spring-Clip-Vehicle-Bracket.jpg,https://teslafiresystems.com/product/5lb-fire-extinguisher-spring-clip-vehicle-bracket/,,,CA,0.5 lb,
Amerex 397X Halotron | 11Lbs | FAA & USCG Approved,397x,1330.00 CAD,new,in stock,Online,CA,en,0,Amerex,"All Fire extinguishers come with a 6 Year Manufacturer's Warranty.
   Certification Tag is available and is an extra fee.
   FAA Approved: For onboard aircraft use, meets FAA performance standards DOT/FAA/AR-01/37.
   USCG Approved: U.S Coast Guard approved when mounted on Amerex 895 Heavy Duty Bracket.",850026795165,https://teslafiresystems.com/wp-content/uploads/2025/09/Amerex-397-%E2%80%93-Halotron-I-11Lbs-Fire-Extinguisher.webp,https://teslafiresystems.com/product/amerex-397x-halotron-1-11-lbs-fire-extinguisher-faa-uscg-approved/,,,CA,12 lb,merge
20 lb Fire Extinguisher - Amerex A411 ABC Multi-Purpose,a411,235.00 CAD,new,in stock,Online,CA,en,1,Amerex,"All Fire extinguishers come with a 6 Year Manufacturer's Warranty.
   Certification Tag is available and is an extra fee.

Versatile Fire Extinguisher for Class A, B, and C Fires. Be prepared for any fire emergency with this high-performance fire extinguisher, designed to handle Class A (ordinary combustibles), Class B (flammable liquids), and Class C (electrical) fires.",850026795035,https://teslafiresystems.com/wp-content/uploads/2025/01/A411.png,https://teslafiresystems.com/product/20-lb-fire-extinguisher-amerex-a411-abc-multi-purpose/,,,CA,38 lb,
"1-1/2"" x 50' Single Jacket Fire Hose - Designed to be Clipped on a Swing Rack",15parap-50cb,119.00 CAD,new,in stock,Online,CA,en,0,,"The Paragon Single Jacket Rack and Reel Fire Hose with NPSH couplings (1 1/2"" x 50') is a durable and flexible firefighting hose designed for quick deployment in rack and reel systems. With a single polyester jacket and rubber lining, it offers excellent abrasion resistance and reliability in high-demand environments. Ideal for commercial, industrial, and residential fire protection, this hose exceeds all NFPA standards to ensure top performance when needed.",,https://teslafiresystems.com/wp-content/uploads/2025/01/35.-Paragon-Single-Jacket-Rack-and-Reel-Fire-Hose-1-12-x-50.jpg,https://teslafiresystems.com/product/paragon-single-jacket-rack-and-reel-fire-hose-1-1-2-x-50/,,,CA,8 lb,merge
ANSUL CLEANGUARD+ 7.5 lb Clean Agent Fire Extinguisher – 5-B:C – Model CA07VB,19006,619.00 CAD,new,in stock,Online,CA,en,1,Ansul,"The 7.5 lb CLEANGUARD+ is the step-up from small handheld units — giving more discharge time, range, and knockdown power while still keeping the clean agent advantage.

Built for commercial and technical environments, this extinguisher eliminates the biggest problem with ABC units: mess and damage. Ideal for :

   Server rooms
   Electrical panels
   Telecom rooms
   Offices with high-value equipment

It’s UL/ULC listed, rechargeable, and built with a durable steel cylinder + anodized aluminum valve.

   Model: CA07VB
   Agent Capacity: 7.5 lb
   UL/ULC Rating: 5-B:C
   Agent Type: FK-5-1-12 Clean Agent
   No Residue / No Cleanup
   Electrically Non-Conductive
   Discharge Time: ~10–12 sec
   Range: ~10–12 ft
   Operating Temp: -40°C to 49°C
   Application: Electrical rooms, offices, data environments
   Warranty: 6-Year Limited",,https://teslafiresystems.com/wp-content/uploads/2026/04/ansul-a.png,https://teslafiresystems.com/product/ansul-cleanguard-7-5-lb-clean-agent-fire-extinguisher-5-bc-model-ca07vb/,,,CA,8 lb,merge
Mircom FS-400-RR - Wall Mount Strobe (Red),fs400-rr,85.00 CAD,new,in stock,Online,CA,en,0,,"Utilizing advanced LED technology, the FS-400 strobes provide a lower current draw which allows for more devices on a NAC circuit while reducing the number of external power supplies required.",808221140631,https://teslafiresystems.com/wp-content/uploads/2025/03/4-inch-strobe-red.jpg,https://teslafiresystems.com/product/mircom-fs-400-rr-wall-mount-strobe-red/,,,CA,0.5 lb,
System Sensor PSP1 SYS Supervisory / Tamper Switch,psp1a,290.00 CAD,new,in stock,Online,CA,en,0,,"The System Sensor PSP1 Pressure / Tamper Switch is designed to monitor pressure changes in fire sprinkler and suppression systems, ensuring quick and accurate alerts.",,https://teslafiresystems.com/wp-content/uploads/2025/02/System-Sensor-PSP1-Pressure-Switch.jpg,https://teslafiresystems.com/product/system-sensor-psp1-sys-supervisory-tamper-switch/,,,CA,1 lb,
Fire Extinguisher Cabinet - 10lb Surface Mounted (C-999),c-999-1689,84.00 CAD,new,in stock,Online,CA,en,0,,"This surface-mounted metal fire extinguisher cabinet is designed to securely house a 10 lb ABC fire extinguisher. Constructed from durable materials, it features a keyed lock for authorized access and a clear viewing panel for easy visibility. The cabinet’s white enamel finish ensures it complements various interior settings while providing essential protection for your fire safety equipment.",,https://teslafiresystems.com/wp-content/uploads/2025/04/WIL_C999.png,https://teslafiresystems.com/product/fire-extinguisher-cabinet-10lb-surface-mounted-c-999/,,,CA,5 lb,
"Fully Assembled 100' x 1-1/2"" Fire Hose & Rack",996,230.33 CAD,new,in stock,Online,CA,en,0,,"Typically used in warehouse and industrial applications. Also very popular for high-rise residential projects stored in fire hose cabinets.

What's Included:

   100' Fire Hose
   Nozzle
   Swing Rack
   Nozzle Holder
   NPSH Threads for direct connection to gate valve",,https://teslafiresystems.com/wp-content/uploads/2025/02/Hose-Assembled-on-Rack.jpg,https://teslafiresystems.com/product/fully-assembled-1-1-2-fire-hose-rack-w-nozzle-npsh-100-ft-hose/,,,CA,22 lb,
Amerex Heavy Duty Vehicle Bracket – 4 1/4′′ Cylinder (807),4-1-4-807-285,92.23 CAD,new,in stock,Online,CA,en,0,Amerex,"The Amerex 807 Heavy Duty Steel Bracket is designed to securely mount a 5lb fire extinguisher with a 4.25"" cylinder diameter. Made from durable steel with a primed and powder-coated paint finish, this bracket ensures long-lasting performance and meets the latest U/L salt spray requirements (240 hrs. @ 20% salt solution ASTM B117), providing reliable protection for your fire extinguisher in harsh environments.",,https://teslafiresystems.com/wp-content/uploads/2025/01/21.-Amerex-807-Heavy-Duty-Steel-Bracket-for-5lb-Fire-Extinguisher.jpg,https://teslafiresystems.com/product/amerex-807-heavy-duty-steel-bracket-for-5lb-fire-extinguisher/,,,CA,6 lb,
"Mircom FA-106R: Six Zone Fire Alarm Unit, Red Door",459,550.00 CAD,new,in stock,Online,CA,en,0,,"The Mircom FA-106R is a reliable and efficient six-zone fire alarm control panel, designed to provide superior fire detection and notification capabilities. Its durable construction features a red door for high visibility, making it ideal for commercial and institutional applications.",,https://teslafiresystems.com/wp-content/uploads/2025/01/86.-Mircom-FA-106R-Six-Zone-Fire-Alarm-Unit-Red-Door.jpg,https://teslafiresystems.com/product/mircom-fa-106r-six-zone-fire-alarm-unit-red-door/,,,CA,7 lb,
Mircom MS-401 - Single Stage Pull Station,ms-401-479,48.45 CAD,new,in stock,Online,CA,en,0,,The Mircom Pull Station is a manual activation device designed for use with fire alarm control panels operating on 24 VDC or VAC systems.,778346001394,https://teslafiresystems.com/wp-content/uploads/2025/01/Ms-401.jpg,https://teslafiresystems.com/product/mircom-pullstation/,,,CA,0.5 lb,
Mircom FS-400-WW - Wall Mount Strobe (White),fs-400-ww,85.00 CAD,new,in stock,Online,CA,en,0,,"Utilizing advanced LED technology, the FS-400 strobes provide a lower current draw which allows for more devices on a NAC circuit while reducing the number of external power supplies required.",808233242521,https://teslafiresystems.com/wp-content/uploads/2025/03/4-inch-strobe-white.png,https://teslafiresystems.com/product/mircom-fs-400-ww-wall-mount-strobe-white/,,,CA,0.5 lb,
Kidde DETECT - Battery Operated Photoelectric Smoke & CO w/10 Year Sealed Battery & Voice Alerts (30CUD10-VCA),21032772,77.99 CAD,new,in stock,Online,CA,en,0,Kidde,"This alarm offers a modern 5"" design ideal for all living spaces. Cutting edge technology sends fast alerts that give your family more time to get out safely and enhanced sensing technology reduces false alarms often caused by cooking.

   10 YEAR INTEGRATED BATTERY OPERATED SMOKE & CO: Avoids inconvenient battery replacements and saves up to $60 over the life of the device.
   ALERTS YOU TO BOTH SMOKE & CARBON MONOXIDE (CO) BY VOICE & ALARM USING A SINGLE, COST EFFECTIVE DEVICE
   NO LOW BATTERY CHIRPS: This alarm beeps to remind you it’s time to replace it 10 years after it is powered.
   REDUCED NUISANCE ALARMS: Reduces false alarms often caused by cooking.
   SELF-TESTING: Internal components ensure alarm is always operating as expected.**",,https://teslafiresystems.com/wp-content/uploads/2025/02/image.png,https://teslafiresystems.com/product/kidde-detect-battery-operated-smoke-co-10-year-sealed-battery/,,,CA,1 lb,
Fire Alarm Circuit Breaker Lock Off,75000,15.00 CAD,new,in stock,Online,CA,en,0,,"The Fire Alarm Circuit Breaker Lock-Off is a safety device designed to secure fire alarm circuit breakers in the ""ON"" position, preventing accidental deactivation and ensuring uninterrupted operation of fire alarm systems.",,https://teslafiresystems.com/wp-content/uploads/2025/01/Breaker-Lock-Off.jpg,https://teslafiresystems.com/product/fire-alarm-circuit-breaker-lock-off/,,,CA,0.25 lb,
Vinyl Cover for 100' Fire Hose Assembled on a Swing Rack,t-erhc100,59.00 CAD,new,in stock,Online,CA,en,0,Tesla Fire Systems,"Protect your fire hose with this durable vinyl cover, designed for fire hoses assembled on a swing pin racks.
Key Features:

   Durable Protection: Made from high-quality vinyl to shield fire hoses from dust and damage.
   Clear Safety Messaging: Bold stenciled text on both sides for maximum visibility.
   Easy Access: Automotive grade 3M velcro fastener for quick and secure opening and closing.
   Fits Perfectly: Designed to fit 75' Fire Hose Assembled on a Swing Pin Rack
   Compliance & Safety: Ensures hoses are accessible yet protected & visible, meeting safety standards.",990312860365,https://teslafiresystems.com/wp-content/uploads/2025/02/Vinyl-Cover-for-100-ft-Pin-Rack-English.jpg,https://teslafiresystems.com/product/vinyl-cover-for-100-ft-pin-rack-english/,,,CA,0.25 lb,
Safe Signal WFD20N 5.1cm Waterflow Detector,wfd20n,250.00 CAD,new,in stock,Online,CA,en,1,,"The Safe Signal WFD20N 5.1cm Waterflow Detector provides reliable monitoring for fire sprinkler systems, ensuring safety and quick response.


   Ideal for fire sprinkler systems
   Easy installation and accurate detection",,https://teslafiresystems.com/wp-content/uploads/2025/02/System-Sensor-Honeywell-WFD25N-2.5-Waterflow-Detector.jpg,https://teslafiresystems.com/product/system-sensor-wfd20n-5-1cm-waterflow-detector/,,,CA,3 lb,merge
"1-1/2"" x 75' Single Jacket Fire Hose - Designed to be Clipped on a Swing Rack",15parap-75cb,129.00 CAD,new,in stock,Online,CA,en,0,,"The Paragon Single Jacket Rack and Reel Fire Hose with NPSH couplings (1 1/2"" x 75') is a durable and flexible firefighting hose designed for quick deployment in rack and reel systems. With a single polyester jacket and rubber lining, it offers excellent abrasion resistance and reliability in high-demand environments. Ideal for commercial, industrial, and residential fire protection, this hose exceeds all NFPA standards to ensure top performance when needed.",,https://teslafiresystems.com/wp-content/uploads/2025/01/36.-Paragon-Single-Jacket-Rack-and-Reel-Fire-Hose-1-12-x-75.jpg,https://teslafiresystems.com/product/paragon-single-jacket-rack-and-reel-fire-hose-1-1-2-x-75/,,,CA,7 lb,
ANSUL CLEANGUARD+ 3.5 lb Clean Agent Fire Extinguisher – 2-B:C – Model CA03VB,ca03vb,439.00 CAD,new,in stock,Online,CA,en,0,Ansul,"Model: CA03VB
   Part Number: 443475
   Agent Capacity: 3.5 lb (1.59 kg)
   UL/ULC Rating: 2-B:C
   Listings: UL and ULC listed
   Clean Agent: FK-5-1-12
   No Residue / No Cleanup: Safe for sensitive electronics and valuable assets
   Electrically Non-Conductive: Suitable for energized electrical hazards where clean-agent protection is preferred
   Discharge Time: 8.9 seconds
   Effective Range: 8 ft to 10 ft
   Charged Weight: 6.08 lb (2.76 kg)
   Operating Temperature: -40°F to 120°F (-40°C to 49°C)
   Typical Applications: Computer rooms, control areas, labs, telecom spaces, data/document storage, and sensitive equipment rooms
   Warranty: Six-year limited warranty",,https://teslafiresystems.com/wp-content/uploads/2026/04/ansulc.png,https://teslafiresystems.com/product/ansul-cleanguard-3-5-lb-clean-agent-fire-extinguisher-ca03vb/,,,CA,6.5 lb,
"Sprinkler Head 1/2""",775701155,10.55 CAD,new,in stock,Online,CA,en,0,,"The 1/2"" Pendant Style Sprinkler Head is designed for efficient fire suppression, offering reliable protection in commercial and residential applications. Its pendant style ensures optimal water distribution for maximum coverage.",,https://teslafiresystems.com/wp-content/uploads/2025/01/33.-Sprinkler-Head-12.jpg,https://teslafiresystems.com/product/sprinkler-head-1-2/,,,CA,0.2 lb,
Fire Extinguisher Cabinet - 5lb Surface Mounted (C-100),c-100-290,67.00 CAD,new,in stock,Online,CA,en,2,,"This surface-mounted metal fire extinguisher cabinet is designed to securely house a 5 lb ABC fire extinguisher. Constructed from durable materials, it features a keyed lock for authorized access and a clear viewing panel for easy visibility. The cabinet's white enamel finish ensures it complements various interior settings while providing essential protection for your fire safety equipment.",,https://teslafiresystems.com/wp-content/uploads/2025/01/c100.png,https://teslafiresystems.com/product/metal-extinguisher-cabinet/,,,CA,8 lb,
Kidde DETECT - Battery Operated Photoelectric Smoke Alarm w/10 Year Sealed Battery (20SD10-CA),21031471,38.75 CAD,new,in stock,Online,CA,en,65,Kidde,"This alarm offers a modern 5"" design ideal for all living spaces. Cutting edge technology sends fast alerts that give your family more time to get out safely and enhanced sensing technology reduces false alarms often caused by cooking.

   Worry-Free 10-Year Battery: No battery changes for 10 years.* Avoids inconvenient battery replacements and saves up to $40 over the life of the device.
   Fast Alerts: Cutting edge technology gives ample time to get out safely.
   Simple Installation: With included twist-and-click mounting bracket.



NO LOW BATTERY CHIRPS




This alarm beeps to remind you it’s time to replace it 10 years after it is powered.


REDUCED NUISANCE ALARMS




Reduces false alarms often caused by cooking.


SELF-TESTING




Internal components ensure alarm is always operating as expected.**",47871314713,https://teslafiresystems.com/wp-content/uploads/2025/02/kidde-DETECT-Battery-Smoke-2-scaled.webp,https://teslafiresystems.com/product/kidde-detect-battery-operated-smoke-alarm-10-year-sealed-battery/,,,CA,1 lb,merge
6 Litre (1.75g) Class AC Deionized Water Mist Extinguisher - Amerex C270,c270,420.00 CAD,new,in stock,Online,CA,en,0,Amerex,"Key Features:

   All Fire extinguishers come with a 5 Year Manufacturer's Warranty.
   Certification Tag is available and is an extra fee.
   Tested by an independent agency for use in MRI facilities to 11.7 Tesla (including wall hanger bracket).
   Ships Charged and Ready to use with Amerex 670 - Deionized Water.
   Ideal for: hospital environments, telecommunication facilities, and “clean room” manufacturing facilities
   Multi-Purpose Protection: Effective on Class A (wood, paper, cloth) & Class C (Electrical Equipment)
   Powerful Performance: UL/ULC Rating of 2A:C for superior fire suppression.
   Capacity & Range: 6 Liters (1.75g) capacity, 10-12 ft range, 72-second discharge time.
   Certified & Compliant: Manufactured & tested to exceed CAN/ULC-S554 – UL 8 & CAN/ULC-S508 – UL 711. Complies to NFPA 10 standard.
   Includes: Non-Metallic Wall Hook",,https://teslafiresystems.com/wp-content/uploads/2025/12/c270__28678.jpg,https://teslafiresystems.com/product/6-litre-1-75g-class-ac-deionized-water-mist-extinguisher-amerex-c270/,,,CA,9 lb,merge
Mircom MH-S25WA - Sileanceable Mini Horn (White),mh-s25wa-388,45.00 CAD,new,in stock,Online,CA,en,1,,"Mircom’s MH-25 Series mini horns are compact electronic alarm appliances that are ideal for alarm signaling in individual rooms, apartments, hotels and offices where attractive appearance and dependable performance are prime concerns.",,https://teslafiresystems.com/wp-content/uploads/2025/03/Mini-Horn-w-Silence.jpg,https://teslafiresystems.com/product/mircom-mh-s25wa-sileanceable-mini-horn-white/,,,CA,0.5 lb,
Combination Exit LED Sign / Emergency Lighting,sl-e6-36,147.00 CAD,new,in stock,Online,CA,en,0,,This Self-Powered Combination Exit/Emergency Lighting Unit comes with a battery and features an energy-efficient LED light source. It operates for over 30 minutes and is available in both plastic and metal options for versatile installation.,,https://teslafiresystems.com/wp-content/uploads/2025/01/58.-Combination-EXIT-LEDSign.jpg,https://teslafiresystems.com/product/combination-exit-led-sign-emergency-lighting/,,,CA,2 lb,
Kidde 2 Storey Escape Ladder,468193-426,88.65 CAD,new,in stock,Online,CA,en,0,Kidde,"The Kidde 2-Story Escape Ladder is a 13-foot emergency ladder designed for quick and easy escape from upper floors. Compact and durable, it provides a reliable solution for emergency situations, ensuring safe and rapid exit during a fire or other crisis.",47871680931,https://teslafiresystems.com/wp-content/uploads/2025/01/Blankets-Ladders-Fire-Retardant-5-2-Storey-3Storey-Fire-Escape-Ladder-1.png,https://teslafiresystems.com/product/2-story-escape-ladder/,,,CA,6 lb,
"Mircom BL-6B - 24V 6"" Fire Alarm Bell",bl-6b-24v-6-467,65.00 CAD,new,in stock,Online,CA,en,0,,"The Mircom 6-Inch Motorized Steel Bell (BL-6B) is a durable and reliable alarm signaling device, perfect for various fire and security applications.",,https://teslafiresystems.com/wp-content/uploads/2025/01/Mircom-6-Inch-Bell.jpg,https://teslafiresystems.com/product/mircom-6inch-bell/,,,CA,1 lb,
30 lb Model B570 Class D Fire Extinguisher,b570,1395.00 CAD,new,in stock,Online,CA,en,0,Amerex,"All Fire extinguishers sold by Tesla Fire Systems Inc. come inspected and fully certified for 1 year.

The MODEL B570 Class D Fire Extinguisher is equipped with a specially blended Sodium Chloride-based dry powder extinguishing agent. When exposed to heat, it forms a crust that excludes air and dissipates heat, effectively extinguishing metal fires. This extinguisher is ideal for fires involving magnesium, sodium, potassium, and sodium-potassium alloys, and is proven to control and extinguish fires involving zirconium, uranium, titanium, and powdered aluminum.",850026795073,https://teslafiresystems.com/wp-content/uploads/2025/01/14.-Model-B570-30LBS-Class-D-Fire-Extinguisher.jpg,https://teslafiresystems.com/product/model-b570-30lbs-class-d-fire-extinguisher/,,,CA,55 lb,
Kidde DETECT – Battery Operated Photoelectric Smoke & CO w/10 Year Sealed Battery - NO VOICE ALERT (30CUD10-CA),21031518,69.00 CAD,new,in stock,Online,CA,en,54,Kidde,"This alarm offers a modern 5′′ design ideal for all living spaces. Cutting edge technology sends fast alerts that give your family more time to get out safely and enhanced sensing technology reduces false alarms often caused by cooking.

   Worry-Free 10-Year Battery Backup: No battery changes for 10 years.† Avoids inconvenient battery replacements and saves up to $40 over the life of the device.
   Double the Detection: Alerts you to both smoke & carbon monoxide (CO) using a single, cost-effective device.
This product has NO VOICE ALERTS



NO LOW BATTERY CHIRPS




This alarm beeps to remind you it’s time to replace it 10 years after it is powered.


REDUCED NUISANCE ALARMS




Reduces false alarms often caused by cooking.


SELF-TESTING




Internal components ensure alarm is always operating as expected.**",47871315185,https://teslafiresystems.com/wp-content/uploads/2026/01/image-1.png,https://teslafiresystems.com/product/kidde_no-voice-alert-30cud10-ca/,5,1,CA,1.2 lb,merge
Running Man Combo Exit Emergency Light Unit 12V 36W,sl-rm-12-36,325.00 CAD,new,in stock,Online,CA,en,0,,"The Combo Exit Emergency Light with a running man pictorial sign and battery unit offers a modern, sleek design ideal for commercial and institutional settings. This versatile fixture combines exit marking and path lighting in one unit, providing reliable performance during emergencies. Features include universal pictograms, a 12V 36W battery for 30 minutes of operation, a white LED single face plate, and two 12W quartz lamp PAR18 emergency heads. With universal mounting and a white finish, this unit supports 120/277/347V input for flexible installation options.",,https://teslafiresystems.com/wp-content/uploads/2025/01/59.-Running-Man-Combo-Exit-Emergency-Light-Unit.jpg,https://teslafiresystems.com/product/running-man-combo-exit-emergency-light-unit/,,,CA,2 lb,
Kidde Quick Connect Alarm Adapter,21032239,5.50 CAD,new,in stock,Online,CA,en,28,Kidde,"Install hardwired Kidde detectors quicker & easier
   Allows installation to an existing Kidde wiring harness
   For use only with Kidde branded detectors only
   Allows a new Kidde detector to be interconnected with other Kidde smoke and combination detectors (see user guide for compatibility)
   Box includes 1 Kidde Quick Connect Wiring Adapter
   Designed for use with Kidde interconnected hardwired alarms
   Not compatible with BRK or First Alert alarms
   10-year limited manufacturer's warranty",47871322398,https://teslafiresystems.com/wp-content/uploads/2026/01/20-9003_f.jpg,https://teslafiresystems.com/product/kidde-quick-connect-alarm-adapter/,,,CA,1.2 lb,merge
Mircom C2W-BA Smoke Detector 12/24 VDC,c2w-ba-460,95.00 CAD,new,in stock,Online,CA,en,0,,The Mircom C2W-BA Smoke Detector is a reliable and efficient solution for early smoke detection in residential and commercial spaces.,,https://teslafiresystems.com/wp-content/uploads/2025/01/87.-Mircom-C2W-BA-Smoke-Detector-1224-VDC.jpg,https://teslafiresystems.com/product/mircom-c2w-ba-smoke-detector-12-24-vdc/,,,CA,0.5 lb,
System Sensor - D4120 4-Wire Photoelectric Duct Smoke Detector and 1.5' Sampling Tube,dd4120-st15-17897,265.00 CAD,new,in stock,Online,CA,en,48,System Sensor,The System Sensor D4120 provides 24VAC/DC and 120VAC contacts for dual / individual fire alarm initiation / furnace shutdown.,783863034411,https://teslafiresystems.com/wp-content/uploads/2026/02/dd.png,https://teslafiresystems.com/product/system-sensor-d4120-4-wire-photoelectric-duct-smoke-detector-with-1-5-sampling-tube-exhausting-tube-operates-on-24v-fire-alarm-and-120v-furnace-shutdown/,,,CA,5 lb,merge
5 lb Fire Extinguisher - Amerex B386TX Halotron Class BC,b386tx,790.00 CAD,new,in stock,Online,CA,en,0,Amerex,"Key Features:

   All Fire extinguishers come with a 6 Year Manufacturer's Warranty.
   Certification Tag is available and is an extra fee.
   Class B & C Protection: Effective for flammable liquid and electrical fires
   Clean Agent: Halotron leaves no residue, safe for sensitive equipment
   Durable Construction: Steel cylinder and all-metal valve for extended durability
   Optimal Size: 5lb design for added fire suppression capacity
   Versatile Use: Ideal for offices, data centers, vehicles, and more",850026795226,https://teslafiresystems.com/wp-content/uploads/2025/01/20.-5lb-Fire-Extinguisher-Amerex-B386TX-Halotron-Class-BC.jpg,https://teslafiresystems.com/product/5lb-fire-extinguisher-amerex-b386tx-halotron-class-bc/,,,CA,9 lb,
Pull Station Label - no Elevator,ne20,5.00 CAD,new,in stock,Online,CA,en,3,Tesla Fire Systems,"The ""IN CASE OF FIRE"" Pull Station Sticker is a clear, easy-to-read label designed to mark fire alarm pull stations.",,https://teslafiresystems.com/wp-content/uploads/2025/02/Tesla-Signs-2-Pull-Station-No-Elevator.png,https://teslafiresystems.com/product/in-case-of-fire-pull-station-sticker/,,,CA,1 lb,merge
